Feature ID	taxonomy	Consensus
aca380d3d06d653c6296f75364e4e6fb	Unassigned	1.0
792c4058300b01b7a55255650151f3a2	Unassigned	1.0
1f9c853d573f11edcd700b55c27fd577	Unassigned	1.0
e2da0f81429e8a0cae888ec7e0fbbbdb	Unassigned	1.0
b732a2be2d6c3aaa8755b74eaf80267b	Unassigned	1.0
fbc2c4e9b4c5b98803a2270a930be88d	Unassigned	1.0
e810c19cb320d505c1b38aebc7c603d8	Unassigned	1.0
83cc21e44d76d209bd1c1b9d7964813c	Unassigned	1.0
94e9b5802f0ef1caf66c039c8727db51	Unassigned	1.0
8f6a055a1c013500cdf2f661fd50f88f	Unassigned	1.0
5c688e5274f4b5fdb6723d9d024c64ab	Unassigned	1.0
ce36cd192172c4d302cefd39c6c0e2bc	Unassigned	1.0
ae71bf7c99d3583a2d8841e5911c5716	Unassigned	1.0
cd02d7da122462321c3c7e8c545f0445	Unassigned	1.0
9161bce7aeca9b553d901feb3e55c61c	Unassigned	1.0
975a41f9cf1caae7c95d74a6dea464c3	Unassigned	1.0
4232edf1fc65dd579d491caeafb49153	Unassigned	1.0
6a575072d7b0beec335625a8930e54fb	Unassigned	1.0
6b8444c8e461e9b8283b3e246439641f	Unassigned	1.0
068678cf37cd00e22574581e32e97d8b	Unassigned	1.0
32169248eb595dd383ef06a24f89c764	Unassigned	1.0
5c58ad86dbfebfade55da92dc4f3a3d2	Unassigned	1.0
0872ee96003e931447bfbda18e048d00	Unassigned	1.0
fdf79b2352da82f67612a0d3fa98c598	Unassigned	1.0
319c23c6eec65d9236fd7d963ace1afb	Unassigned	1.0
0e7b1f660575a3720d6994d4c92f06c6	Unassigned	1.0
6446c1d2d0a290d5cebcb1fee55d6bf0	Unassigned	1.0
2100441c9c266964af0416d7473fc126	Unassigned	1.0
b7f7ea3299a7709add9489114daa46ec	Unassigned	1.0
f4fdb9ecbabb26406620a17061caf3b2	Unassigned	1.0
c8201e7ab3e489c57c14ee52cb1cc21d	Unassigned	1.0
1101fc2a9d1c58d4dcead733ab1d2e37	Unassigned	1.0
60fc76e2a915949df10cf9833003fb29	Unassigned	1.0
988c47d941a5bad411a023ee1ed7b5d9	Unassigned	1.0
de95edce22a44931c6bb3bf95220aade	Unassigned	1.0
faaa19b4c467792bc986f92945924ab0	Unassigned	1.0
ba3a426053b1cfd12210a92631dc8cb1	Unassigned	1.0
2a7e9abe866f49ff39c8bcebd1be907b	Unassigned	1.0
d265cd9c509012f77ac542378ce93344	Unassigned	1.0
4a4f94c1786b336cc68380b4bb0ff32e	Unassigned	1.0
75776764065cf5111d6a186068cbb3ff	Unassigned	1.0
b3ff363212bff8dcfacb72ccf53d2e88	Unassigned	1.0
06a459616b6514bbb9432d951470eeaf	Unassigned	1.0
5b0da60509ae4ac11f4ffdc13c6c37a1	Unassigned	1.0
04f162821c04a29556a8b49f933cd498	Unassigned	1.0
3e252b6536d8d7a0a490e9fe2610930c	Unassigned	1.0
ec65c6c164cf42f173c1a730038dfda8	Unassigned	1.0
40a604ce5e271d20c8bdb4d3a0bd9715	Unassigned	1.0
d11abc5044516fb2097e28719c321a55	Unassigned	1.0
661a3c66cf41c64b6cf5f01425c5be35	Unassigned	1.0
8a9e76ebb9ce7e88d575b706946df8ca	Unassigned	1.0
8ee95750c7e287ebe70f9c7f14f70752	Unassigned	1.0
a413e106591be418ca9ad70a479ea879	Unassigned	1.0
4715d00a2315b24a3fcc1b66ae839a94	Unassigned	1.0
17d5a49452a6ccbe4473c55b3f818efc	Unassigned	1.0
9a9b89a6eb2b3a9212bdba9f3434b6cc	Unassigned	1.0
24fd7a573f5909dd9b39c67f622c324d	Unassigned	1.0
c366064866eaed18a54d15640272ab34	Unassigned	1.0
59bd5b1929d33b8abb0ebaac275c9fc3	Unassigned	1.0
42e1316d4b80dd529d81a6cc4107cd53	Unassigned	1.0
63b0272bbcb6e802570516c85a23c287	Unassigned	1.0
7f61ff35c76dfcb482c3533b241cd747	Unassigned	1.0
7b8de4372caf3a679852915da25f08c3	Unassigned	1.0
884ac3b675dc43d00481072c10544882	Unassigned	1.0
1a3c2911ee517b29b278267f33430237	Unassigned	1.0
3a5905e41d8db41ee90ba19a57ac0cf6	Unassigned	1.0
bb592cffa8bb7a940db3283d3db0f7be	Unassigned	1.0
9e26d138a3890613587abedfa84cb4ba	Unassigned	1.0
290f31792eee70a33832429ff94bfaec	Unassigned	1.0
19eedde912646975442d14e0d11029cf	Unassigned	1.0
fa18d4147f6b1476ffed36a9ced2d299	Unassigned	1.0
753999802d4019be718f1370c9691a18	Unassigned	1.0
70e000c0965f894efbb3997ebc59217c	Unassigned	1.0
053200369b0c436efe08fe4ed870383f	Unassigned	1.0
61f2cf79ac43d004accd044695606d80	Unassigned	1.0
18b96ce4d6bc8416cb21c40d0004e0d7	Unassigned	1.0
27f4533769da3ca164f9f55cb216d94d	Unassigned	1.0
a880ed2d41968971f4fce9e649b40160	Unassigned	1.0
c1427d1d88f4bc1bea83aac2ed75b86c	Unassigned	1.0
9e59cbfb5efd76b113d62d16ffafb2c4	Unassigned	1.0
88b5b5240649749ca876d10823045b01	Unassigned	1.0
c80644a8f7f88cdc41ef3661cbc07917	Unassigned	1.0
0aa4663de19d33cbaec31569d47cf191	Unassigned	1.0
4f297517f0846e88e15e58c582de5cae	Unassigned	1.0
0c1e2398985a5329dae49a7dfe961925	Unassigned	1.0
f08b4108149b06cc52c1cc1e1b8d7e69	Unassigned	1.0
8d2a29d23de2d1b6cada06bf85915274	Unassigned	1.0
8daa24809002247beeeb4130b91033c5	Unassigned	1.0
595a7348d492095b322756f053301b7e	Unassigned	1.0
a39f96564c95092a7622547c6ad9ee98	Unassigned	1.0
ba659915d765adba621cfca5514395f9	Unassigned	1.0
2c1bfc84e8a153278bbfa2b7ae5c569c	Unassigned	1.0
9e53e89599eceafacb339d62d1feedf4	Unassigned	1.0
1b2c41577c16f4c672a2a861e6b89b14	Unassigned	1.0
8739f4dad4bf135f224c096b9409c013	Unassigned	1.0
cb96a2aa36f795e803fa0461bc32c688	Unassigned	1.0
3fec3b2dc391502d5d02780938545181	Unassigned	1.0
f5528868e4266d10220a150103906178	Unassigned	1.0
0b7bb641eb02da03ef77bafed634d3b5	Unassigned	1.0
34fd958c9fb06110cc0049b5ae2eb89d	Unassigned	1.0
3026e73715ce1cc1278e0977c23d0fff	Unassigned	1.0
44b3382d89f76af06365ff9df317cc70	Unassigned	1.0
bd9199f5a9b5f0b8d7413908651b0b35	Unassigned	1.0
b3d58312c6327dbaabc317b9e08f7a7d	Unassigned	1.0
9cc0761d2958d3eaee19741b77648cbd	Unassigned	1.0
e3e60396f75a9b58a14f5e5d5135ba73	Unassigned	1.0
46044cbd11a034f87fd71053322bbd67	Unassigned	1.0
e5a6972210bc68d79ae87155cc9cc623	Unassigned	1.0
7218a445b4549aba69a7eafef52e20e9	Unassigned	1.0
949fced82b014950e3cc05f3f1f6a6d3	Unassigned	1.0
9db2817f5c42be6a7bcbca662959982d	Unassigned	1.0
ad7ba2e1bcc7fe895f41a66e3eff2377	Unassigned	1.0
de2e741d14fc24a84e8323fe274e60a3	Unassigned	1.0
b51e6631c2e163a0ad9cdfd6a8ee3048	Unassigned	1.0
a9e354c52e0d8657a5251a1d3f13b7c6	Unassigned	1.0
abd762b85f93befd11bb8a6a26254b70	Unassigned	1.0
8bc8d4c28bcf54e7a6455ae52c17e67f	Unassigned	1.0
c4378ee377fbf992dfb3bce2edcdc49d	Unassigned	1.0
f63fefc20083e036de443fbc6a0e03ca	Unassigned	1.0
d39931b07860d40b9a1a244302086ce6	Unassigned	1.0
650d78236e596490ea3d32fb10dda595	Unassigned	1.0
3e3c072318a2d9a96c77f091bea75271	Unassigned	1.0
1799bb6fa3baa5becf58a1b7909fe4e0	Unassigned	1.0
e9f78beb6b81444198f615430dde2a14	Unassigned	1.0
ed6a94c75908f55fb1ab4b3bebc453f9	Unassigned	1.0
f5f7ba9ef276092b6c39553a69b0f659	Unassigned	1.0
152f2442f71988fd53ecceeae425e3e4	Unassigned	1.0
1f997fdf3180072d04af265aabe1eb42	Unassigned	1.0
b25f6c79ac539be13a64f4dc3972fdbf	Unassigned	1.0
a5b2491107b64e52fb788d854df29033	Unassigned	1.0
c90b1267e08a6e1a61790b1a5c4179a7	Unassigned	1.0
1c833744aa3e130acff05ac165c22bb0	Unassigned	1.0
2845b04d8b5e53d3e3e28b1b48289e36	Unassigned	1.0
c9f24e2a1ac1de3d50f182e90c6e3a9d	Unassigned	1.0
a349afc68ea24812d020e0bae53ab45e	Unassigned	1.0
9d54dc62ae22b24895169ddc14092998	Unassigned	1.0
8968a0a7225602f7fc3b2c6f2e21f0e0	Unassigned	1.0
5ad78f7cc7a335a39f0abcbd2c9e65cc	Unassigned	1.0
c5d74649e42d33830bb6c018688c1454	Unassigned	1.0
c675075cc5a551bef73ec6235e41489c	Unassigned	1.0
9c811df278c132f488c8bb23a5a7274b	Unassigned	1.0
ea308a223c67cedce3a99a92b7e4f638	Unassigned	1.0
9f8a1c4ba48dc60418827028d614e0aa	Unassigned	1.0
f0126c1667b63351fea6e978f73e6f32	Unassigned	1.0
4118b08bd489b24a052ff2542acbff9f	Unassigned	1.0
9b8f5a0864ec979fb248f1d69a13d338	Unassigned	1.0
3ae08b5fc81acfed3941c7d987a123af	Unassigned	1.0
c29435d07f4131b7636c4b96f73620fd	Unassigned	1.0
9e6da2e5f2c91e23df30a03ef24f8084	Unassigned	1.0
25526181bd4d7a9dac933eacb133c9f9	Unassigned	1.0
b9de2978770b6f3d16953f5ccf05d5e2	Unassigned	1.0
d484ea5d604c187e944966d386f2efa5	Unassigned	1.0
35ba236c5694af90fdb26cb18e01ef4b	Unassigned	1.0
0d760564739f88eba17798fcae573077	Unassigned	1.0
fafe1efd493d536b33e670fb60d59185	Unassigned	1.0
b7c6776040cd931704f2e558c0ba7047	Unassigned	1.0
9bbbf10b22de1b354bec8e7d409543d5	Unassigned	1.0
2fe905386e2e465fa433cd17a680f607	Unassigned	1.0
55bc65e792ed026c819356dca576b3dc	Unassigned	1.0
4bc680e8164e06146b2819edec141e27	Unassigned	1.0
4300c2ddd411c957ed97b9cf7fe72814	Unassigned	1.0
412d5b0cf5566ebf5cb7e7343d2e2640	Unassigned	1.0
a2f019c11d586d4faddc36d30e1ce647	Unassigned	1.0
8714c90cbb188e6efec0afb84fc4c286	Unassigned	1.0
163840103472680db51245b1fc4a3f15	Unassigned	1.0
94689db78a140a2526dbac55518b0b0b	Unassigned	1.0
513e6d0f390bf475d9a25d5c76094e3d	Unassigned	1.0
d22b768bbde9c239f105980717767702	Unassigned	1.0
b13ec23c1d3dc601ea5148441cf09c62	Unassigned	1.0
082101be1b76700a1df046369a87e5b1	Unassigned	1.0
a4598c034626a274aa7a29cde0271b86	Unassigned	1.0
da0dd63f13f05b59eb8f53da3da5acd2	Unassigned	1.0
65a7d8d598c49d54f90085c013e2c76b	Unassigned	1.0
846b8732a52922d6a8ba66d71d4022c1	Unassigned	1.0
d11980d71fd92a0bd224336bfe201f93	Unassigned	1.0
8719c3f041211d4c536b2fbb5d508066	Unassigned	1.0
c2eeb04c5c546bd8359d7a6354126e7d	Unassigned	1.0
d0bdc9296c1bb00d907ad99161ae7ca9	Unassigned	1.0
86b83eeee9a6baee4985f57e1dc483c5	Unassigned	1.0
d8e89db1edd362d2f6067fd8dca45185	Unassigned	1.0
b3f7d373c878b456d272837090c02003	Unassigned	1.0
f3395681e8c9d53ed5a0423b1a4c4462	Unassigned	1.0
924a0cf3581c09b4ebef70c105aefb34	Unassigned	1.0
